Symbol,Price,Date,Volume
CWCO,11.97,1439766516318,45051
CTCT,24.67,1439766516370,171330
CFRX,4.54,1439766516392,34379
CPSS,5.5839,1439766516447,41993
CFRXW,NULL,1439766516682,0
CTRL,8.59,1439766516763,83173
CFRXZ,0.388,1439766516815,5198
CTRV,4.4,1439766516839,9138
CPRT,36.38,1439766516857,123592
CRBP,1.85,1439766516883,51601
CORT,5.29,1439766516905,117705
CORE,64.92,1439766517148,83301
CORI,11.57,1439766517173,305165
CRVL,33,1439766517312,11047
CSOD,38.79,1439766517338,215145
CSGP,195.58,1439766517466,58789
COSI,1.32,1439766517488,146237
CPAH,0.45,1439766517510,3990
COST,146.09,1439766517654,812356
CVTI,25.72,1439766517695,86095
ICBK,18.8,1439766517722,5
COVS,3,1439766517799,81990
COWN,5.69,1439766517824,810359
COWNL,27.35,1439766517899,1700
CPSH,2.42,1439766517953,1072
CRAI,23.07,1439766517975,17184
BVA,3.87,1439766518102,2924
BREW,8.29,1439766518126,29057
CBRL,151.13,1439766518157,193977
CRAY,23.42,1439766518175,101120
CACC,208.7,1439766518255,73625
SLVO,10.52,1439766518302,2025
CRESY,11.64,1439766518459,34022
GLDI,10.94,1439766518486,1486
CREE,27,1439766518553,736542
CRTO,46.1135,1439766518587,151489
CROX,15.03,1439766518645,695076
CCRN,14.11,1439766518668,104581
CRDS,1.13,1439766518726,9494
CRWS,8.12,1439766518794,12956
CRWN,4.79,1439766518819,122136
CYRX,3.01,1439766518849,34312
CSGS,31.91,1439766518991,62662
CCLP,15.11,1439766519014,41482
CYRXW,0.75,1439766519032,3200
CSPI,6.25,1439766519058,2426
CTIC,1.78,1439766519208,675461
CTCM,1.81,1439766519230,421922
CTIB,3.56,1439766519293,142
CUNB,22.57,1439766519364,15094
CUI,5.53,1439766519419,27959
CPIX,5.88,1439766519449,3244
CMLS,1.33,1439766519473,351192
CTRP,71.58,1439766519491,647995
CRIS,2.81,1439766519634,409127
CVV,11.9,1439766519766,17365
CVBF,17.49,1439766519792,216059
CUTR,15.06,1439766519822,25137
CYBX,59.23,1439766519844,95419
CYAN,7.71,1439766519900,1820
CYBR,58.613,1439766519928,1090998
CYBE,5.67,1439766520025,12559
CYCC,0.6,1439766520131,62551
CBAY,2.63,1439766520168,74945
CYCCP,5.9999,1439766520202,400
CYNA,15.08,1439766520271,32912
