BOJA,$20.84,1439683833230,349611
WIFI,$9.07,1439683833268,209485
BONA,$11.85,1439683833289,57249
BOKF,$66.3333,1439683833346,37770
BNSO,$1.72,1439683833377,81525
BAMM,$3.22,1439683833501,9700
BPFH,$12.46,1439683833669,160742
EPAY,$26.1,1439683833769,94035
BPFHP,$25.58,1439683833781,1527
BDBD,$8.99,1439683833829,313922
BCLI,$2.88,1439683833848,86912
BBRG,$12.89,1439683833873,82949
BBEPP,$14.39,1439683834008,49326
BDGE,$28.06,1439683834128,39505
BRID,$8.14,1439683834145,888
BBEP,$2.8015,1439683834175,1250490
BCOV,$5.53,1439683834193,65235
BSFT,$34.34,1439683834342,62708
BRCM,$50.5,1439683834366,1594297
BRCD,$10.1084,1439683834579,1356271
BYFC,$1.37,1439683834598,576
BVSN,$6.02,1439683834672,16148
BRKL,$10.8,1439683834697,155821
BWEN,$3.56,1439683834709,29481
BRKS,$11.06,1439683834748,141610
BRKR,$20.14,1439683834771,259738
BMTC,$29.83,1439683834813,50947
BLMT,$21.22,1439683834925,5561
BSQR,$7.28,1439683835032,739972
BWLD,$195.84,1439683835073,161440
BUR,$2.02,1439683835122,1200
BLDR,$14.2717,1439683835207,535234
CFFI,$36.65,1439683835233,5286
CHRW,$69.4,1439683835288,431828
CCMP,$45.71,1439683835407,93512
CA,$29.339,1439683835422,1039559
CDNS,$21.3859,1439683835443,1028237
CDZI,$7.42,1439683835473,50224
CACQ,$7.18,1439683835564,37061
PRSS,$4.8,1439683835617,23855
CZR,$7.36,1439683835643,472177
CSTE,$50.1161,1439683835697,463560
CLBS,$1.4,1439683835821,196556
CLMS,$11.78,1439683835869,71313
CCD,$20.6,1439683835997,57503
CHI,$11.13,1439683836018,197498
CHW,$8.12,1439683836092,136951
CHY,$11.91,1439683836149,179045
CAMP,$16.59,1439683836168,205986
CSQ,$10.56,1439683836235,251640
CGO,$12.79,1439683836269,20918
CFNB,$13.47,1439683836415,24
CVGW,$53,1439683836437,95587
CALA,$5.33,1439683836534,317892
CALM,$52,1439683836611,480182
CALD,$16.56,1439683836626,145443
CLMT,$26.37,1439683836668,233743
ABCD,$4.45,1439683836769,60248
CAMT,$2.83,1439683837009,9466
CAC,$40.42,1439683837030,6646
CGIX,$11.09,1439683837095,25176
CSIQ,$24.71,1439683837110,990174
CPHC,$10.7,1439683837156,2295
CBNJ,$10.87,1439683837234,10059
CPLA,$49.93,1439683837329,58767
CBF,$30.2,1439683837405,33918
CCBG,$15.19,1439683837460,8373
CPLP,$7.22,1439683837504,319847
CPTA,$15.25,1439683837639,51575
CFFN,$12.19,1439683837668,193120
