TFSC,NULL,1439682002766,[]
BDBD,$8.99,1439682027245,[u'313,922']
BPFHW,NULL,1439682027300,[]
BCLI,$2.88,1439682027422,[u'86,912']
BBRG,$12.89,1439682027446,[u'82,949']
BBEP,$2.8015,1439682027480,[u'1,250,490']
BBEPP,$14.39,1439682027527,[u'49,326']
BDGE,$28.06,1439682027566,[u'39,505']
BRID,$8.14,1439682027640,[u'888']
BCOV,$5.53,1439682027661,[u'65,235']
BRCM,$50.5,1439682027817,[u'1,594,297']
BVSN,$6.02,1439682027934,[u'16,148']
BSFT,$34.34,1439682027959,[u'62,708']
BYFC,$1.37,1439682027976,[u'576']
BWEN,$3.56,1439682028005,[u'29,481']
BRCD,$10.1084,1439682028036,[u'1,356,271']
BRKL,$10.8,1439682028060,[u'155,821']
BRKS,$11.06,1439682028204,[u'141,610']
BMTC,$29.83,1439682028353,[u'50,947']
BRKR,$20.14,1439682028380,[u'259,738']
BLMT,$21.22,1439682028403,[u'5,561']
BSQR,$7.28,1439682028464,[u'739,972']
BWLD,$195.84,1439682028492,[u'161,440']
BUR,$2.02,1439682028585,[u'1,200']
CFFI,$36.65,1439682028737,[u'5,286']
BLDR,$14.2717,1439682028768,[u'535,234']
CHRW,$69.4,1439682028794,[u'431,828']
CDZI,$7.42,1439682028847,[u'50,224']
CCMP,$45.71,1439682028888,[u'93,512']
CDNS,$21.3859,1439682028903,[u'1,028,237']
CA,$29.339,1439682028935,[u'1,039,559']
CACQ,$7.18,1439682029098,[u'37,061']
CZR,$7.36,1439682029240,[u'472,177']
PRSS,$4.8,1439682029287,[u'23,855']
CLBS,$1.4,1439682029313,[u'196,556']
CSTE,$50.1161,1439682029329,[u'463,560']
CHY,$11.91,1439682029416,[u'179,045']
CLMS,$11.78,1439682029438,[u'71,313']
CHW,$8.12,1439682029638,[u'136,951']
CHI,$11.13,1439682029666,[u'197,498']
CFGE,NULL,1439682029697,[]
CGO,$12.79,1439682029728,[u'20,918']
CVGW,$53,1439682029758,[u'95,587']
CAMP,$16.59,1439682029797,[u'205,986']
CCD,$20.6,1439682029812,[u'57,503']
CSQ,$10.56,1439682029848,[u'251,640']
CFNB,$13.47,1439682030011,[u'24']
CALA,$5.33,1439682030099,[u'317,892']
CALM,$52,1439682030219,[u'480,182']
CLMT,$26.37,1439682030256,[u'233,743']
CALD,$16.56,1439682030307,[u'145,443']
ABCD,$4.45,1439682030322,[u'60,248']
CAMB,NULL,1439682030391,[]
CAMBU,NULL,1439682030418,[]
CAC,$40.42,1439682030447,[u'6,646']
CAMBW,NULL,1439682030476,[]
CAMT,$2.83,1439682030569,[u'9,466']
CGIX,$11.09,1439682030597,[u'25,176']
CPHC,$10.7,1439682030662,[u'2,295']
CSIQ,$24.71,1439682030692,[u'990,174']
CBNJ,$10.87,1439682030737,[u'10,059']
CPLA,$49.93,1439682030793,[u'58,767']
CBF,$30.2,1439682030975,[u'33,918']
CCBG,$15.19,1439682031129,[u'8,373']
CSWC,$49.86,1439682031201,[u'9,545']
CPLP,$7.22,1439682031239,[u'319,847']
CFFN,$12.19,1439682031257,[u'193,120']
CAPN,$3.05,1439682031299,[u'898,859']
CPTA,$15.25,1439682031314,[u'51,575']
CAPR,$4.12,1439682031343,[u'35,784']
CPST,$0.4018,1439682031400,[u'717,302']
CAPNW,$0.7799,1439682031464,[u'215']
CARB,$11.66,1439682031640,[u'42,578']
CARA,$21.91,1439682031687,[u'133,308']
CRDC,$0.4,1439682031734,[u'29,190']
CBYL,$6.28,1439682031793,[u'38,646']
CRME,$9.77,1439682031894,[u'64,964']
CFNL,$23.528,1439682031922,[u'59,766']
CDNA,$6.31,1439682032135,[u'15,675']
CSII,$24.2,1439682032180,[u'177,670']
CATM,$35.33,1439682032195,[u'104,211']
CECO,$3.99,1439682032223,[u'301,907']
CTRE,$11.2122,1439682032255,[u'361,640']
CKEC,$23.95,1439682032296,[u'83,395']
CLBH,$12.8,1439682032349,[u'1,040']
CARO,$16.09,1439682032536,[u'8,504']
CART,$5.46,1439682032567,[u'1,338']
CRZO,$35.06,1439682032596,[u'527,432']
TAST,$12.93,1439682032647,[u'101,527']
CRTN,$2.89,1439682032709,[u'19,546']
CARV,$5.86,1439682032793,[u'212']
CASM,$1.12,1439682032887,[u'32,906']
CACB,$5.55,1439682033068,[u'62,322']
CSCD,$14,1439682033107,[u'19,817']
CWST,$6.27,1439682033131,[u'153,542']
CASY,$106.61,1439682033162,[u'186,358']
CASI,$1.53,1439682033266,[u'8,742']
CATB,$11.99,1439682033285,[u'18,867']
CASS,$51.35,1439682033319,[u'10,885']
CPRX,$4.11,1439682033435,[u'242,775']
CATY,$32.18,1439682033466,[u'169,694']
CATYW,NULL,1439682033488,[]
CAVM,$71.64,1439682033610,[u'319,178']
CVCO,$73.4488,1439682033638,[u'24,994']
CBFV,$20.05,1439682033671,[u'5,187']
CNLMR,NULL,1439682033757,[]
CNLM,NULL,1439682033790,[]
CNLMU,NULL,1439682033844,[]
CNLMW,NULL,1439682033885,[]
CBOE,$64.4229,1439682033914,[u'209,983']
CDK,$50.99,1439682033975,[u'409,820']
CDW,$39.18,1439682034086,[u'1,048,758']
CPXX,$2.25,1439682034127,[u'67,115']
CELG,$129.24,1439682034166,[u'2,096,121']
CECE,$10.1,1439682034223,[u'98,965']
CELGZ,$1.98,1439682034253,[u'24,800']
CLDN,$1.05,1439682034312,[u'110,063']
CLDX,$16.34,1439682034349,[u'2,315,311']
CLRB,$3.12,1439682034515,[u'2,069']
CLRBW,$0.85,1439682034542,[u'4,282']
CLLS,$32.67,1439682034572,[u'64,503']
CBMG,$23.77,1439682034656,[u'16,338']
CLSN,$2.19,1439682034690,[u'34,865']
CLTX,$0.58,1439682034706,[u'27,378']
CYAD,$55,1439682034742,[u'802']
CEMP,$37.26,1439682034884,[u'275,470']
CETV,$2.29,1439682035012,[u'73,683']
CETX,$2.7,1439682035038,[u'126,599']
CENT,$11.21,1439682035085,[u'16,568']
CSFL,$14.17,1439682035101,[u'70,836']
CFBK,$1.32,1439682035116,[u'7,802']
CENTA,$11.95,1439682035161,[u'56,021']
