BKCC,$9.51,1439682327093,[u'235,395']
ADRE,$31.45,1439682327235,[u'17,219']
ADRU,$23.2666,1439682327261,[u'934']
BCOR,$13.83,1439682327323,[u'105,205']
BLMN,$21.66,1439682327338,[u'654,740']
BUFF,$26.87,1439682327459,[u'821,531']
BLBD,$12.93,1439682327474,[u'3,084']
BHBK,$14.5,1439682327608,[u'28,477']
BBLU,$0.9223,1439682327634,[u'105,042']
BLUE,$127.26,1439682327660,[u'483,144']
BKEP,$6.78,1439682327727,[u'25,111']
BKEPP,$7.89,1439682327737,[u'27']
NILE,$34.68,1439682327776,[u'70,839']
BPMC,$26.55,1439682327873,[u'75,584']
BNCN,$21.89,1439682327921,[u'88,290']
BOBE,$46.61,1439682328075,[u'55,212']
BOFI,$128.5,1439682328100,[u'140,173']
WIFI,$9.07,1439682328168,[u'209,485']
BOKF,$66.3333,1439682328343,[u'37,770']
BOJA,$20.84,1439682328353,[u'349,611']
BONA,$11.85,1439682328375,[u'57,249']
BPFH,$12.46,1439682328425,[u'160,742']
BAMM,$3.22,1439682328461,[u'9,700']
BPFHW,NULL,1439682328578,[]
BNSO,$1.72,1439682328602,[u'81,525']
BPFHP,$25.58,1439682328685,[u'1,527']
BCLI,$2.88,1439682328745,[u'86,912']
EPAY,$26.1,1439682328811,[u'94,035']
BDBD,$8.99,1439682328857,[u'313,922']
BBRG,$12.89,1439682329032,[u'82,949']
BBEP,$2.8015,1439682329055,[u'1,250,490']
BBEPP,$14.39,1439682329265,[u'49,326']
BDGE,$28.06,1439682329297,[u'39,505']
BRID,$8.14,1439682329392,[u'888']
BSFT,$34.34,1439682329415,[u'62,708']
BCOV,$5.53,1439682329426,[u'65,235']
BRCM,$50.5,1439682329445,[u'1,594,297']
BVSN,$6.02,1439682329519,[u'16,148']
BYFC,$1.37,1439682329632,[u'576']
BRCD,$10.1084,1439682329709,[u'1,356,271']
BRKL,$10.8,1439682329766,[u'155,821']
BWEN,$3.56,1439682329789,[u'29,481']
BRKS,$11.06,1439682329804,[u'141,610']
BRKR,$20.14,1439682329844,[u'259,738']
BMTC,$29.83,1439682330059,[u'50,947']
BLMT,$21.22,1439682330079,[u'5,561']
BSQR,$7.28,1439682330160,[u'739,972']
BWLD,$195.84,1439682330212,[u'161,440']
BLDR,$14.2717,1439682330316,[u'535,234']
BUR,$2.02,1439682330330,[u'1,200']
CFFI,$36.65,1439682330382,[u'5,286']
CHRW,$69.4,1439682330439,[u'431,828']
CDNS,$21.3859,1439682330598,[u'1,028,237']
CDZI,$7.42,1439682330622,[u'50,224']
CA,$29.339,1439682330632,[u'1,039,559']
CCMP,$45.71,1439682330653,[u'93,512']
CACQ,$7.18,1439682330724,[u'37,061']
CZR,$7.36,1439682330773,[u'472,177']
CSTE,$50.1161,1439682330792,[u'463,560']
PRSS,$4.8,1439682330920,[u'23,855']
CLBS,$1.4,1439682331007,[u'196,556']
CHY,$11.91,1439682331061,[u'179,045']
CLMS,$11.78,1439682331117,[u'71,313']
CHI,$11.13,1439682331134,[u'197,498']
CCD,$20.6,1439682331181,[u'57,503']
CFGE,NULL,1439682331290,[]
CHW,$8.12,1439682331308,[u'136,951']
CGO,$12.79,1439682331373,[u'20,918']
CAMP,$16.59,1439682331492,[u'205,986']
CFNB,$13.47,1439682331512,[u'24']
CSQ,$10.56,1439682331561,[u'251,640']
CVGW,$53,1439682331591,[u'95,587']
CALA,$5.33,1439682331601,[u'317,892']
CALD,$16.56,1439682331684,[u'145,443']
CALM,$52,1439682331754,[u'480,182']
ABCD,$4.45,1439682331914,[u'60,248']
CAMB,NULL,1439682331933,[]
CAMBU,NULL,1439682331970,[]
CLMT,$26.37,1439682332025,[u'233,743']
CAMBW,NULL,1439682332045,[]
CAC,$40.42,1439682332169,[u'6,646']
CAMT,$2.83,1439682332184,[u'9,466']
CGIX,$11.09,1439682332331,[u'25,176']
CPLA,$49.93,1439682332377,[u'58,767']
CBNJ,$10.87,1439682332397,[u'10,059']
CSIQ,$24.71,1439682332452,[u'990,174']
CPHC,$10.7,1439682332462,[u'2,295']
CBF,$30.2,1439682332482,[u'33,918']
CCBG,$15.19,1439682332611,[u'8,373']
CPLP,$7.22,1439682332734,[u'319,847']
CSWC,$49.86,1439682332816,[u'9,545']
CAPN,$3.05,1439682332876,[u'898,859']
CFFN,$12.19,1439682332907,[u'193,120']
CPTA,$15.25,1439682332925,[u'51,575']
CAPNW,$0.7799,1439682333015,[u'215']
CAPR,$4.12,1439682333029,[u'35,784']
CARB,$11.66,1439682333178,[u'42,578']
CARA,$21.91,1439682333193,[u'133,308']
CPST,$0.4018,1439682333265,[u'717,302']
CRDC,$0.4,1439682333331,[u'29,190']
CBYL,$6.28,1439682333347,[u'38,646']
CFNL,$23.528,1439682333380,[u'59,766']
CSII,$24.2,1439682333402,[u'177,670']
CRME,$9.77,1439682333629,[u'64,964']
CATM,$35.33,1439682333664,[u'104,211']
CDNA,$6.31,1439682333682,[u'15,675']
CECO,$3.99,1439682333736,[u'301,907']
CKEC,$23.95,1439682333810,[u'83,395']
CTRE,$11.2122,1439682333820,[u'361,640']
CARO,$16.09,1439682333952,[u'8,504']
CLBH,$12.8,1439682334006,[u'1,040']
CART,$5.46,1439682334026,[u'1,338']
CARV,$5.86,1439682334175,[u'212']
CRTN,$2.89,1439682334192,[u'19,546']
CRZO,$35.06,1439682334210,[u'527,432']
TAST,$12.93,1439682334315,[u'101,527']
CASM,$1.12,1439682334335,[u'32,906']
CACB,$5.55,1439682334408,[u'62,322']
CSCD,$14,1439682334424,[u'19,817']
CWST,$6.27,1439682334518,[u'153,542']
CASI,$1.53,1439682334595,[u'8,742']
CASY,$106.61,1439682334739,[u'186,358']
CASS,$51.35,1439682334838,[u'10,885']
CATYW,NULL,1439682334854,[]
CPRX,$4.11,1439682334874,[u'242,775']
CATY,$32.18,1439682334897,[u'169,694']
CATB,$11.99,1439682334907,[u'18,867']
CVCO,$73.4488,1439682335074,[u'24,994']
CNLM,NULL,1439682335238,[]
CBFV,$20.05,1439682335283,[u'5,187']
CNLMR,NULL,1439682335301,[]
CNLMW,NULL,1439682335323,[]
CNLMU,NULL,1439682335350,[]
CAVM,$71.64,1439682335386,[u'319,178']
CBOE,$64.4229,1439682335482,[u'209,983']
CDW,$39.18,1439682335679,[u'1,048,758']
CDK,$50.99,1439682335763,[u'409,820']
CELG,$129.24,1439682335805,[u'2,096,121']
CELGZ,$1.98,1439682335823,[u'24,800']
CPXX,$2.25,1439682335844,[u'67,115']
CECE,$10.1,1439682335934,[u'98,965']
CLDN,$1.05,1439682336037,[u'110,063']
CLDX,$16.34,1439682336054,[u'2,315,311']
